省,日期,累计确诊,累计死亡,累计治愈
香港,20200131,13,,
宁夏,20200131,26,,
吉林,20200131,17,,1
新疆,20200131,18,,
台湾,20200131,10,,
澳门,20200131,7,,
青海,20200131,9,,
西藏,20200131,1,,
湖北,20200201,9074,294,215
浙江,20200201,661,,23
广东,20200201,604,,14
河南,20200201,493,2,4
重庆,20200201,262,1,3
湖南,20200201,463,,8
安徽,20200201,340,,5
北京,20200201,183,1,9
四川,20200201,231,1,3
上海,20200201,182,1,10
山东,20200201,225,,5
江西,20200201,333,,10
广西,20200201,111,,2
江苏,20200201,236,,6
海南,20200201,63,1,1
辽宁,20200201,64,,1
福建,20200201,159,,
黑龙江,20200201,95,2,2
陕西,20200201,116,,
天津,20200201,48,,
河北,20200201,104,1,3
云南,20200201,99,,2
山西,20200201,56,,1
内蒙古,20200201,27,,1
甘肃,20200201,40,,
贵州,20200201,38,,2
香港,20200201,14,,
宁夏,20200201,28,,
吉林,20200201,23,,1
新疆,20200201,21,,
台湾,20200201,10,,
澳门,20200201,8,,
青海,20200201,11,,
西藏,20200201,1,,
